FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
5049,Arkansas,Fulton,72.756804657,5.7574137668,6.7750396508,,49.683410722,24.9,5.9338312198,37.5,41.2,5.0,88.5597,46346,84.6921797,100.0,1.0063601964,0.4347476049,2.1656871427,93.027936559,2369,31.456799329,,69.093178037,27.871621622,27.573231258,15.102481122,99.759800978,,26.2
5051,Arkansas,Garland,72.086639937,4.8198715981,6.3364061806,84.858962693,62.020022247,29.4,10.65407406,28.0,38.0,83.0,299.64724,53849,69.231296559,33.784188461,8.3710815361,0.9249979957,7.5883909244,80.05191213,22475,22.449822488,35.308852529,83.170330424,33.359683794,29.273300344,14.253339695,98.4864465774,8.1,17.1
5053,Arkansas,Grant,73.264578022,4.8494021736,6.1388800288,89.145454545,54.447141911,13.6,12.464759246,30.0,39.3,2.0,130.5554,64306,79.525521208,73.772134982,3.2040472175,0.5711798945,3.0027743023,91.263667519,4531,25.902872079,,85.521207764,23.505365355,16.456029489,9.2700729927,99.930012831,8.3,20.4
5055,Arkansas,Greene,73.523634066,5.4410690466,6.6090013579,91.448979592,49.335507542,19.1,6.6507178492,33.1,41.5,23.0,239.60807,55444,65.145598572,45.143869162,2.4837943649,0.5284213679,3.8829343431,90.627473632,12265,20.397724242,13.732094072,85.52382015,40.486637415,18.776308665,13.136195621,99.7850357118,8.3,22.5
5057,Arkansas,Hempstead,73.316297707,5.3908799315,6.5288329625,89.647887324,54.812956204,25.8,16.108882814,32.9,41.3,5.0,113.73624,50576,69.627045881,55.86842761,29.281910769,0.641058781,15.649072016,51.310551621,4384,20.337879979,,76.214113228,48.130736512,13.503998148,13.350958361,96.7925140632,8.9,20.8
5059,Arkansas,Hot Spring,72.166013618,5.4415831787,6.1981566373,92.711538462,49.422850412,21.7,11.213107535,32.0,40.1,8.0,246.55722,53767,77.373770763,73.208232446,11.152203981,0.5442299597,4.2876901798,81.225569788,8490,23.874691974,19.972438036,77.580365259,32.01725282,21.478432074,12.551781276,99.9398448631,8.4,21.8
5061,Arkansas,Howard,72.401282235,5.2590004305,6.1036411478,96.366995074,48.835745752,22.5,16.120074635,31.0,41.8,6.0,159.57871,47308,71.193654479,100.0,20.53778026,0.9255565308,12.566823586,63.033591319,3178,29.423944552,,77.074869414,35.3602115,23.109988137,11.703139867,98.1486178037,8.9,19.3
5063,Arkansas,Independence,73.386571309,5.2788253335,6.6205426688,94.253393665,56.863611264,18.1,6.0958814394,34.1,40.8,29.0,185.28184,59695,67.626593179,71.234646001,2.3799582463,0.9003131524,9.0161795407,85.153966597,9055,25.417298938,14.106237602,74.688253531,32.856032856,14.820460705,13.449477352,98.8456593437,8.2,24.1
5065,Arkansas,Izard,73.719201621,5.585148362,6.4214046702,95.017857143,55.249138201,23.9,0.3212162646,31.3,38.0,4.0,84.69193,47320,74.676745574,100.0,2.7383725034,0.4799209542,3.0700825746,91.587267979,3191,20.852230667,,70.63855182,27.59810263,27.618687676,10.918918919,99.9924738466,7.6,22.1
5067,Arkansas,Jackson,70.529179494,5.6877719311,6.5999666955,86.470588235,45.809939696,32.0,14.269319856,36.8,43.3,6.0,107.245,45762,65.277321956,64.506117577,17.766920877,0.6136796949,3.503336511,75.357483317,4809,26.280763329,,77.321956022,50.333333333,11.961579407,12.20735786,99.9560687837,7.1,24.6
