FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
47161,Tennessee,Stewart,72.889223449,4.9761939961,6.4751621188,97.5,50.590551181,17.5,6.8569798944,28.2,39.4,1.0,35.156800000000004,60634,83.5685289,100.0,2.0250316411,1.0336099002,3.1078610603,90.831106736,3048,20.92882108,62.276940765,81.712739223,20.104244229,27.526258602,10.117878193,98.4563655815,7.3,21.7
47163,Tennessee,Sullivan,72.721753277,5.1939609665,6.9142645383,93.034653465,62.620460097,19.0,11.148959047,26.6,37.7,193.0,150.49187,57016,72.928604842,26.53591548,2.355444537,0.8906158448,2.7828661301,92.023930675,37253,15.243338706,44.064823323,86.862647644,24.097596943,18.493915879,11.219694144,99.7422646521,5.8,18.1
47165,Tennessee,Sumner,75.643644106,4.2014783516,5.982092656,95.0,66.971550525,11.9,7.2849452857,24.3,37.5,94.0,115.38794,86376,72.223815608,25.259194726,8.4536092387,1.7837052992,7.4771387636,79.988365049,52479,11.400758262,37.001480059,92.087972258,17.884726781,15.535441247,12.142070485,98.7169036301,7.1,17.5
47167,Tennessee,Tipton,72.277665661,5.0782913278,6.0567748682,91.0,60.0162206,24.7,1.5792433297,29.2,41.7,17.0,59.662980000000005,70886,77.186834634,66.662292931,18.30524873,0.840119326,3.2185761509,75.007659437,16029,23.697398165,41.716780981,84.953867991,23.807841752,19.495837639,11.367795059,99.7443692138,8.3,20.7
47169,Tennessee,Trousdale,71.965200811,5.0069484944,6.4416983034,97.5,34.432748538,16.5,,28.8,39.7,4.0,8.1493,62658,74.494259158,100.0,11.001548366,0.472659115,4.3680221661,81.712981827,4275,15.737498525,56.178197242,84.773100055,27.325581395,18.999257302,17.164179104,99.8479563545,7.4,22.2
47171,Tennessee,Unicoi,71.182788556,5.4469437444,6.7398869925,92.5,58.632911392,22.0,1.8870717725,33.3,41.1,8.0,22.5276,54955,72.766884532,51.444667559,0.6476683938,0.4223924307,6.8427573778,90.431403469,3950,16.096709028,47.05705197,82.327310009,23.720349563,12.39143414,9.3605800923,99.1916927252,5.7,26.6
47173,Tennessee,Union,69.790104144,5.3658242571,6.8106356501,97.5,44.677318946,23.4,0.7238890054,29.4,37.6,3.0,43.39231,64244,80.362887659,100.0,0.6557060894,0.269996625,2.5215756232,94.850778651,4819,20.87517366,88.992897048,76.965641488,36.910097548,16.942564706,9.9190283401,99.9737959226,7.7,22.9
47175,Tennessee,Van Buren,70.382288194,5.6394806479,7.0040215866,,43.070866142,23.6,0.8868503657,31.0,40.5,,30.8024,58584,84.727863526,100.0,0.9548744802,0.369628831,2.6182042199,94.132142307,1270,23.941773607,,84.971567831,23.255813953,,10.165975104,99.747983871,6.7,24.0
47177,Tennessee,Warren,72.547050916,5.6269337159,6.759211625,91.0,40.806142035,22.5,4.8870654608,34.3,39.7,19.0,93.81303,49436,70.871559633,61.636510146,3.3303625874,0.9475116094,10.098972747,83.552230405,10420,21.492255855,35.955702574,82.072898587,26.256479603,17.365382111,14.217859405,98.2108218479,6.9,26.3
47179,Tennessee,Washington,73.869762043,4.9099395829,6.4634043751,94.879821958,70.077684692,18.1,9.33322183,28.0,38.3,249.0,426.23898,62028,64.446775972,25.759956692,4.1106776477,1.7107354429,5.0231180465,86.789481289,32825,11.378518451,42.417815483,87.699612334,15.247447991,17.305318957,12.419193299,98.957830293,6.6,21.5
47181,Tennessee,Wayne,73.686616487,5.5924026359,6.5674084071,97.5,50.25802109,23.5,8.9481680328,32.6,43.0,3.0,74.69189999999999,51817,81.513777468,100.0,6.3052408814,0.329889207,2.9316569152,88.802439935,4457,27.641489876,20.308279686,81.199860481,26.467203682,16.975458337,10.670194004,99.1747697032,6.4,26.4
47183,Tennessee,Weakley,72.793492364,5.308780371,6.78333929,94.0,55.512140664,20.9,8.0797571025,28.2,40.1,20.0,42.31653,55285,66.415549194,67.436629992,8.2607907145,1.4115584573,3.3188248096,84.926248338,7166,19.740794782,24.136855973,82.371553413,15.066724064,18.053148469,8.1346954219,99.0822472197,7.5,20.2
47185,Tennessee,White,71.620030586,5.7242562845,7.0267814666,97.0,51.75894315,19.7,16.450358736,30.9,39.2,10.0,80.16172,63690,77.747477502,79.192716902,1.6903666527,0.5611320229,3.3772480134,92.231283982,6737,19.343472101,56.340729553,83.892373421,30.025631637,23.209765509,10.868510432,99.9121198227,6.8,24.9
47187,Tennessee,Williamson,81.472321432,3.4120381474,5.2412517504,97.0,85.605417727,4.7,4.9727812489,17.1,33.7,353.0,272.63102000000003,136007,79.77644517,18.641967335,4.013839522,5.6488693942,6.0413673145,82.32095591,60099,7.5116116998,15.356386288,95.505754222,2.8851878425,8.9282887961,10.039854648,99.0492725211,8.1,10.6
47189,Tennessee,Wilson,76.128446202,4.1258043198,5.5634190422,98.0,71.964931398,8.4,5.8100666154,23.7,38.9,50.0,90.42365,96466,76.832305817,35.238295078,7.7299998778,2.8880579689,6.7475591725,80.263206129,40378,13.029225936,45.791339767,91.69743327,13.581907874,15.593829145,10.465226007,98.6909292188,8.2,18.0
