FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
16065,ID,Madison,79.4,5.0,5.0,94.0,85,11.0,12.0,26,35,27.0,67.0,53727.0,42,28.5,0.7,1.6,8.1,87.6,40318,11.0,,76,6.0,13.0,,30,0,6.2,16,,low,low,No,No
16067,ID,Minidoka,77.5,4.8,4.6,74.0,49,19.0,18.0,32,36,5.0,9.0,56022.0,71,44.2,0.4,0.7,35.7,61.5,21216,28.0,10.0,82,36.0,16.0,,10,9,6.8,17,,high,low,No,No
16069,ID,Nez Perce,77.1,4.3,4.7,80.0,62,13.0,7.0,25,34,29.0,117.0,57839.0,73,19.2,0.5,0.9,4.4,86.6,40755,45.0,20.0,82,21.0,40.0,,13,0,9.4,18,10.0,high,high,No,No
16071,ID,Oneida,78.4,4.3,4.7,88.0,58,13.0,5.0,27,33,2.0,6.0,69357.0,82,100.0,0.4,0.6,4.2,93.1,4520,,,89,19.0,,,14,3,6.3,17,,high,high,Yes,No
16073,ID,Owyhee,77.7,5.0,4.8,93.0,45,19.0,10.0,32,36,1.0,3.0,53910.0,72,77.3,0.4,0.8,25.5,69.4,12133,23.0,,77,25.0,13.0,,16,7,7.7,19,,low,low,Yes,No
16075,ID,Payette,77.2,4.6,4.7,91.0,52,14.0,7.0,29,33,10.0,31.0,60177.0,71,42.7,0.4,1.1,17.6,77.9,24771,19.0,10.0,82,26.0,24.0,,14,3,8.8,18,,high,high,No,No
16077,ID,Power,78.1,4.7,4.5,88.0,43,17.0,6.0,30,34,2.0,4.0,45404.0,66,42.6,0.4,0.5,34.2,60.8,7643,12.0,,85,36.0,,,6,6,6.3,17,,low,low,No,No
16079,ID,Shoshone,75.9,5.2,5.3,90.0,50,21.0,4.0,32,36,4.0,16.0,44336.0,72,56.0,0.6,0.6,3.7,91.2,12911,22.0,,77,29.0,15.0,,12,1,12.1,23,19.0,low,low,No,No
16081,ID,Teton,83.5,3.6,3.9,93.0,77,10.0,2.0,20,31,4.0,12.0,74935.0,78,100.0,0.3,0.7,16.5,81.2,12501,14.0,,91,15.0,,,10,1,4.7,13,,high,high,Yes,No
16083,ID,Twin Falls,77.2,4.5,4.6,81.0,64,13.0,5.0,29,35,62.0,258.0,54995.0,70,28.0,0.9,1.8,17.3,77.8,88411,101.0,68.0,86,25.0,73.0,,13,3,7.0,17,8.0,low,low,No,No
16085,ID,Valley,85.0,3.9,4.4,87.0,63,11.0,8.0,20,33,16.0,24.0,62600.0,83,100.0,0.3,0.6,4.8,92.0,11792,14.0,,87,10.0,11.0,,15,0,6.2,15,,high,high,Yes,No
16087,ID,Washington,78.2,4.9,4.9,86.0,53,20.0,7.0,31,35,5.0,7.0,49186.0,73,45.6,0.4,1.0,16.4,79.3,10360,12.0,,78,22.0,,,16,4,7.3,18,,low,low,No,No
