FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
51117,VA,Mecklenburg,74.8,4.6,5.0,87.0,63,23.0,10.0,34,40,15.0,29.0,49542.0,72,77.8,33.7,0.8,3.0,60.5,30679,57.0,26.0,67,25.0,32.0,44.0,14,1,8.0,22,,low,low,Yes,No
51119,VA,Middlesex,76.3,4.1,4.7,98.0,59,19.0,0.0,29,38,3.0,8.0,60752.0,79,100.0,15.8,0.5,3.1,78.0,10569,16.0,,70,24.0,,44.0,17,0,6.9,20,,high,high,Yes,No
51121,VA,Montgomery,80.0,4.0,4.6,93.0,77,12.0,4.0,26,39,67.0,268.0,62418.0,55,24.9,4.1,6.2,3.5,83.7,98391,43.0,36.0,89,6.0,38.0,30.0,17,1,7.4,18,,high,high,No,No
51125,VA,Nelson,78.1,4.0,4.7,88.0,48,18.0,2.0,29,38,15.0,20.0,60757.0,75,100.0,10.9,0.8,4.7,81.4,14755,23.0,,71,19.0,13.0,78.0,15,0,6.9,20,,high,high,Yes,No
51127,VA,New Kent,78.1,3.7,4.4,88.0,60,7.0,0.0,25,38,8.0,23.0,107658.0,90,100.0,13.6,1.2,3.9,77.7,23648,28.0,15.0,82,8.0,13.0,42.0,13,0,7.5,18,,high,high,Yes,No
51131,VA,Northampton,75.0,4.4,4.8,88.0,54,27.0,0.0,33,41,14.0,12.0,50096.0,63,100.0,32.4,1.1,8.9,55.6,11673,21.0,,78,32.0,11.0,79.0,13,2,6.4,20,,low,low,Yes,No
51133,VA,Northumberland,79.7,4.0,4.5,98.0,53,25.0,2.0,29,39,9.0,2.0,60575.0,89,100.0,24.7,0.6,4.0,69.0,12069,22.0,,79,24.0,,41.0,15,0,6.7,18,,high,high,Yes,No
51135,VA,Nottoway,74.6,4.8,5.0,83.0,40,23.0,22.0,36,43,10.0,15.0,51503.0,67,52.3,38.5,0.5,4.9,54.0,15160,32.0,,68,29.0,,45.0,14,1,7.5,23,,low,low,No,No
51137,VA,Orange,77.4,3.9,4.6,92.0,57,14.0,10.0,27,39,16.0,24.0,73226.0,78,57.8,13.0,1.2,5.8,77.1,37695,52.0,38.0,85,19.0,17.0,25.0,12,1,7.5,19,16.0,high,high,No,No
51139,VA,Page,76.0,4.6,5.2,95.0,44,17.0,,32,38,8.0,10.0,52107.0,72,80.2,2.1,0.5,2.3,93.5,23933,31.0,19.0,72,26.0,14.0,43.0,13,0,6.9,23,,low,low,Yes,No
51141,VA,Patrick,75.2,4.6,5.2,88.0,58,21.0,3.0,30,41,5.0,7.0,46149.0,77,100.0,5.3,0.3,3.3,89.7,17493,30.0,19.0,70,25.0,22.0,18.0,11,0,7.5,22,,low,low,Yes,No
51143,VA,Pittsylvania,75.6,4.6,5.1,89.0,55,18.0,6.0,32,39,5.0,11.0,49124.0,76,85.6,21.1,0.5,2.9,74.1,59850,100.0,44.0,73,20.0,64.0,23.0,12,1,8.2,23,12.0,low,low,Yes,No
51145,VA,Powhatan,80.0,3.6,4.4,91.0,64,6.0,1.0,25,36,12.0,10.0,98465.0,93,99.7,9.0,0.6,2.4,86.0,30148,26.0,23.0,91,7.0,16.0,17.0,9,0,7.8,17,,high,high,Yes,No
51147,VA,Prince Edward,76.0,4.4,4.9,78.0,57,28.0,5.0,31,41,13.0,68.0,47968.0,63,63.2,32.2,1.3,3.4,61.0,23006,41.0,10.0,70,8.0,15.0,39.0,14,2,7.5,21,,low,low,Yes,No
51149,VA,Prince George,80.8,3.8,4.4,89.0,66,10.0,7.0,28,40,8.0,40.0,75717.0,69,53.4,31.2,2.1,9.1,54.1,38686,28.0,18.0,88,12.0,23.0,23.0,12,0,7.8,19,,high,high,No,No
51153,VA,Prince William,81.5,3.4,3.8,88.0,71,7.0,4.0,27,41,203.0,668.0,111117.0,73,4.2,20.7,9.8,24.9,40.7,475533,204.0,239.0,95,15.0,163.0,29.0,15,6,8.5,13,5.0,high,high,No,Yes
51155,VA,Pulaski,75.3,4.2,4.9,89.0,57,16.0,4.0,30,40,12.0,16.0,50530.0,69,46.9,4.9,0.7,1.9,90.5,33935,38.0,32.0,72,33.0,26.0,45.0,10,0,7.4,21,,low,low,No,No
51157,VA,Rappahannock,81.3,3.6,4.4,88.0,53,14.0,5.0,26,37,3.0,8.0,76634.0,77,100.0,3.9,1.3,4.1,88.2,7260,,,83,10.0,,28.0,15,0,6.8,17,,high,high,Yes,No
51159,VA,Richmond,76.5,4.6,4.8,98.0,47,18.0,2.0,34,42,1.0,15.0,55870.0,64,100.0,29.2,0.7,7.5,60.3,9071,11.0,,72,18.0,,,12,2,6.9,21,,high,low,Yes,No
51161,VA,Roanoke,78.9,3.6,4.4,92.0,74,7.0,3.0,26,35,124.0,260.0,71613.0,75,18.5,6.2,3.6,3.5,84.7,94509,58.0,68.0,85,9.0,63.0,41.0,10,1,6.6,16,,high,high,No,No
51163,VA,Rockbridge,79.4,4.3,4.9,85.0,63,16.0,7.0,28,39,18.0,1.0,55684.0,75,91.6,3.4,0.8,2.0,91.6,22757,36.0,10.0,78,11.0,20.0,51.0,12,0,7.0,20,,high,low,Yes,No
51165,VA,Rockingham,79.9,4.0,4.7,,56,11.0,3.0,29,36,25.0,21.0,62609.0,74,59.3,2.3,1.1,7.8,87.4,82346,89.0,29.0,79,16.0,45.0,22.0,12,2,6.8,18,5.0,high,high,No,No
51167,VA,Russell,75.5,5.0,5.5,90.0,59,21.0,1.0,34,39,6.0,23.0,43206.0,75,88.2,0.9,0.3,1.5,96.4,26647,39.0,,61,32.0,25.0,31.0,13,0,7.4,25,,low,low,Yes,No
51169,VA,Scott,75.3,4.7,5.3,91.0,56,22.0,6.0,31,38,7.0,33.0,44937.0,79,82.1,0.9,0.2,1.4,96.3,21629,23.0,14.0,67,26.0,36.0,30.0,13,0,7.8,23,,low,low,Yes,No
51171,VA,Shenandoah,77.7,4.2,4.8,90.0,54,15.0,3.0,29,38,18.0,24.0,54294.0,70,66.6,2.4,1.2,7.8,86.8,43905,46.0,30.0,76,23.0,36.0,75.0,13,2,7.1,19,,low,low,Yes,No
51173,VA,Smyth,73.0,4.8,5.3,93.0,49,21.0,1.0,31,38,17.0,55.0,43351.0,70,75.3,2.4,0.5,2.2,93.7,30090,29.0,21.0,74,30.0,41.0,38.0,11,1,7.1,24,11.0,low,low,Yes,No
51175,VA,Southampton,77.5,4.3,4.8,85.0,60,17.0,5.0,32,42,4.0,,60441.0,74,98.0,34.3,0.6,2.3,60.7,17636,27.0,,78,11.0,12.0,26.0,11,0,7.1,20,,high,high,Yes,No
51177,VA,Spotsylvania,79.3,3.6,4.3,89.0,68,10.0,5.0,28,38,79.0,132.0,94299.0,79,32.3,16.8,3.0,11.1,65.6,138449,116.0,118.0,91,14.0,63.0,16.0,13,2,7.8,16,5.0,high,high,No,No
51179,VA,Stafford,80.0,3.3,3.9,92.0,71,7.0,4.0,24,36,45.0,138.0,110120.0,77,19.8,19.3,3.8,14.6,58.0,156748,62.0,98.0,95,11.0,65.0,27.0,10,2,8.0,13,6.0,high,high,No,No
51181,VA,Surry,79.1,4.4,4.9,88.0,48,19.0,8.0,33,42,2.0,3.0,57872.0,72,100.0,40.6,0.6,3.0,53.3,6385,13.0,,70,19.0,,,13,0,6.9,21,,high,low,Yes,No
51183,VA,Sussex,74.5,4.5,4.7,78.0,41,25.0,14.0,34,43,3.0,3.0,48040.0,73,100.0,55.1,0.4,3.6,39.0,10925,28.0,,70,25.0,,,16,0,7.3,22,,low,low,Yes,Yes
51185,VA,Tazewell,72.7,4.7,5.2,84.0,54,20.0,8.0,32,40,22.0,90.0,45214.0,75,51.9,3.3,0.8,1.1,93.5,40529,44.0,53.0,78,37.0,38.0,28.0,10,0,7.3,23,,low,low,No,No
51187,VA,Warren,76.0,4.0,4.7,90.0,58,15.0,5.0,28,40,24.0,41.0,63797.0,76,50.4,4.7,1.4,5.7,85.4,40475,35.0,55.0,86,23.0,29.0,53.0,12,0,7.2,19,,high,high,No,No
51191,VA,Washington,76.0,4.3,5.0,89.0,63,17.0,1.0,30,38,40.0,106.0,53785.0,76,71.7,1.5,0.6,1.6,95.3,53695,42.0,18.0,76,26.0,50.0,19.0,10,0,7.4,20,9.0,low,low,Yes,No
51193,VA,Westmoreland,77.0,4.3,4.8,93.0,50,22.0,,31,39,3.0,3.0,59343.0,74,78.8,25.0,0.9,6.5,64.4,18149,27.0,19.0,75,28.0,13.0,31.0,14,1,7.3,20,,high,high,Yes,No
51195,VA,Wise,72.7,5.1,5.4,97.0,58,27.0,9.0,37,43,18.0,39.0,41723.0,69,56.7,5.7,0.4,1.3,91.3,37206,36.0,33.0,67,41.0,28.0,39.0,14,0,7.5,26,12.0,low,low,No,No
51197,VA,Wythe,74.8,4.4,5.1,94.0,58,18.0,4.0,31,37,12.0,59.0,54399.0,77,75.3,2.7,0.6,1.4,93.6,28620,34.0,12.0,74,30.0,25.0,41.0,12,1,7.2,21,,low,low,Yes,No
51199,VA,York,81.5,3.2,3.9,95.0,82,6.0,3.0,23,38,86.0,57.0,91711.0,72,6.1,13.3,6.2,7.3,69.4,69199,35.0,40.0,91,7.0,32.0,21.0,11,1,7.1,14,,high,high,No,No
